"","annotated_genes","seqnames","start","end","width","strand","startCpG","endCpG","target","region","lenCpG","bp","tg_mean","bg_mean","delta_means","delta_quants","delta_maxmin","ttest","direction","dist_to_TSS","X","baseMean","log2FoldChange","lfcSE","pvalue","padj","SH.SY5Y_C2","SH.SY5Y_C1","SH.SY5Y_J2","SH.SY5Y_J4","SH.SY5Y_C4","SH.SY5Y_J3","SH.SY5Y_J1","SH.SY5Y_C3","type","description"
"8530","SELENOK","chr3",53892445,53892658,214,"*",5071538,5071543,"R","chr3:53892445-53892658","5CpGs","213bp",0.938,0.525,0.413,0.33,0.296,0.0379,"M",-560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8531","SELENOK","chr3",54110601,54110983,383,"*",5073379,5073382,"R","chr3:54110601-54110983","3CpGs","382bp",1,0.583,0.417,0.338,0.333,0.0377,"M",-218716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8532","SELENOP","chr5",42895022,42895063,42,"*",8127177,8127182,"R","chr5:42895022-42895063","5CpGs","41bp",0.516,0.882,0.366,0.323,0.287,0.0369,"U",-7630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8533","SELENOP","chr5",42816068,42816110,43,"*",8126615,8126618,"R","chr5:42816068-42816110","3CpGs","42bp",0.95,0.542,0.408,0.344,0.317,0.0245,"M",71282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8534","SELENOV","chr19",39503083,39503116,34,"*",25627062,25627066,"R","chr19:39503083-39503116","4CpGs","33bp",0.9,0.208,0.692,0.602,0.55,0.0237,"M",-12023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8535","SELL","chr1",169692394,169692505,112,"*",1659618,1659621,"R","chr1:169692394-169692505","3CpGs","111bp",0,0.343,0.343,0.289,0.286,0.0267,"U",19197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8536","SEMA3D","chr7",85896394,85897477,1084,"*",11733457,11733461,"R","chr7:85896394-85897477","4CpGs","1083bp",0.549,0.896,0.347,0.316,0.304,0.00774,"U",-709338,"ENSG00000153993",46.9233482850922,1.06641177189769,0.270114020565673,1.20114721523225e-06,1.09292628873739e-05,57.7437974305338,85.5414554235677,26.3001946951814,30.3091074866114,55.6366173286468,32.4817507691794,23.670281051305,63.7035820957123,"protein_coding","semaphorin 3D [Source:HGNC Symbol;Acc:HGNC:10726]"
"8537","SEMA5A","chr5",8869794,8869837,44,"*",7870539,7870542,"R","chr5:8869794-8869837","3CpGs","43bp",0.417,0.875,0.458,0.417,0.375,0.0315,"U",676238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8538","SEMA5A","chr5",9895115,9895529,415,"*",7878174,7878180,"R","chr5:9895115-9895529","6CpGs","414bp",0.95,0.583,0.366,0.284,0.276,0.0483,"M",-349040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8539","SEMA5B","chr3",123042062,123042605,544,"*",5589777,5589781,"R","chr3:123042062-123042605","4CpGs","543bp",1,0.674,0.326,0.319,0.318,0.00054,"M",-13457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8540","SEMA6B","chr19",4572043,4572193,151,"*",25028282,25028285,"R","chr19:4572043-4572193","3CpGs","150bp",0.806,0.375,0.431,0.377,0.361,0.0133,"M",9583,"ENSG00000167680",20.7163574352089,3.32521023513842,0.489702958441883,1.82323809340243e-13,4.44360886775354e-12,32.2032716439515,38.7787931253507,1.64376216844884,5.51074681574753,40.8758821190058,2.32012505494139,3.7872449682088,40.6110335860166,"protein_coding","semaphorin 6B [Source:HGNC Symbol;Acc:HGNC:10739]"
"8541","SEMG1","chr20",45177689,45178977,1289,"*",26461113,26461118,"R","chr20:45177689-45178977","5CpGs","1288bp",0.858,0.317,0.542,0.497,0.467,0.0123,"M",-28056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8542","SEPHS1","chr10",13492122,13492235,114,"*",15210411,15210414,"R","chr10:13492122-13492235","3CpGs","113bp",0.225,0.633,0.408,0.364,0.35,0.0103,"U",-143824,"ENSG00000086475",4585.9784740485,0.2680118567938,0.0813788162418456,0.000506581883434449,0.00256097625946984,4679.46850715903,5857.87886740591,4102.00849136407,4196.43370019174,4883.53247205122,3910.18409259455,4295.68260519083,4762.63905643069,"protein_coding","selenophosphate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:19685]"
"8543","SEPTIN14","chr7",55772658,55772761,104,"*",11396348,11396352,"R","chr7:55772658-55772761","4CpGs","103bp",0.633,0.268,0.365,0.332,0.314,0.0105,"M",89994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8544","SEPTIN14","chr7",55679287,55679333,47,"*",11394887,11394890,"R","chr7:55679287-55679333","3CpGs","46bp",0.875,0.432,0.443,0.347,0.312,0.0409,"M",183422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8545","SEPTIN14","chr7",55787402,55787850,449,"*",11396564,11396571,"R","chr7:55787402-55787850","7CpGs","448bp",0.644,0.211,0.433,0.395,0.366,0.0169,"M",74905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8546","SEPTIN14","chr7",55645717,55646060,344,"*",11394575,11394583,"R","chr7:55645717-55646060","8CpGs","343bp",0.128,0.659,0.532,0.523,0.522,0.000212,"U",216695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8547","SEPTIN6","chrX",119723946,119724818,873,"*",28865156,28865167,"R","chrX:119723946-119724818","11CpGs","872bp",0.79,0.455,0.335,0.275,0.267,0.03,"M",-30576,"ENSG00000125354",12560.4270643475,-0.261359710439185,0.0670967219149197,5.26439544461982e-05,0.000344182361320185,12218.3654447724,11590.2969335239,14452.7788660864,14023.4729593735,11163.6575831685,12975.6860572689,13583.9008897229,10475.2577808637,"protein_coding","septin 6 [Source:HGNC Symbol;Acc:HGNC:15848]"
"8548","SEPTIN6","chrX",119685533,119685913,381,"*",28864486,28864495,"R","chrX:119685533-119685913","9CpGs","380bp",0.301,0.95,0.649,0.544,0.483,0.0357,"U",7457,"ENSG00000125354",12560.4270643475,-0.261359710439185,0.0670967219149197,5.26439544461982e-05,0.000344182361320185,12218.3654447724,11590.2969335239,14452.7788660864,14023.4729593735,11163.6575831685,12975.6860572689,13583.9008897229,10475.2577808637,"protein_coding","septin 6 [Source:HGNC Symbol;Acc:HGNC:15848]"
"8549","SERPINA11","chr14",94016187,94016687,501,"*",20612920,20612926,"R","chr14:94016187-94016687","6CpGs","500bp",0.679,1,0.321,0.294,0.267,0.0273,"U",436113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8550","SERPINA11","chr14",94158559,94158715,157,"*",20614718,20614723,"R","chr14:94158559-94158715","5CpGs","156bp",0.933,0.417,0.517,0.429,0.417,0.026,"M",294085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8551","SERPINA11","chr14",94386652,94386832,181,"*",20616758,20616761,"R","chr14:94386652-94386832","3CpGs","180bp",1,0.593,0.407,0.386,0.385,0.00291,"M",65968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8552","SERPINA3","chr14",94609278,94609851,574,"*",20618856,20618860,"R","chr14:94609278-94609851","4CpGs","573bp",0.388,0.893,0.505,0.397,0.386,0.0427,"U",17220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8553","SERPINA3","chr14",94711347,94711522,176,"*",20620267,20620271,"R","chr14:94711347-94711522","4CpGs","175bp",0.445,0,0.445,0.437,0.429,0.00137,"M",119289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8554","SERPINA3","chr14",94713395,94713547,153,"*",20620306,20620309,"R","chr14:94713395-94713547","3CpGs","152bp",0.633,0.171,0.462,0.418,0.4,0.00891,"M",121337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8555","SERPINA7","chrX",105925633,105926845,1213,"*",28765465,28765471,"R","chrX:105925633-105926845","6CpGs","1212bp",0.36,0.737,0.377,0.321,0.286,0.0347,"U",111882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8556","SERPINB3","chr18",63654198,63655661,1464,"*",24704890,24704894,"R","chr18:63654198-63655661","4CpGs","1463bp",0.312,0,0.312,0.281,0.25,0.0377,"M",6232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8557","SERPINB4","chr18",63654198,63655661,1464,"*",24704890,24704894,"R","chr18:63654198-63655661","4CpGs","1463bp",0.312,0,0.312,0.281,0.25,0.0377,"M",-9942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8558","SERPINI2","chr3",167606031,167607216,1186,"*",5946046,5946051,"R","chr3:167606031-167607216","5CpGs","1185bp",0.818,0.161,0.657,0.565,0.517,0.024,"M",-127059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8559","SERTM1","chr13",36516545,36517005,461,"*",19298528,19298531,"R","chr13:36516545-36517005","3CpGs","460bp",0.562,0.889,0.326,0.295,0.264,0.0348,"U",-157015,"ENSG00000180440",120.118279516221,0.369667289697432,0.159409334446535,0.00536743510318455,0.0200950402905722,158.795442933968,160.817936196307,101.913254443828,96.4380692755817,106.731469977404,99.7653773624796,105.096047867794,131.388638072407,"protein_coding","serine rich and transmembrane domain containing 1 [Source:HGNC Symbol;Acc:HGNC:33792]"
"8560","SERTM2","chrX",111494788,111496077,1290,"*",28802219,28802228,"R","chrX:111494788-111496077","9CpGs","1289bp",0.56,0.944,0.383,0.351,0.328,0.0141,"U",-15568,"ENSG00000260802",307.071377582124,1.43584077475553,0.160273635561911,4.38552358435606e-21,2.19022870357597e-19,428.636650157424,366.11742921287,153.691762749966,184.610018327542,460.989115008788,187.156754431938,125.925895192942,549.443395575518,"protein_coding","serine rich and transmembrane domain containing 2 [Source:HGNC Symbol;Acc:HGNC:48576]"
"8561","SERTM2","chrX",111505006,111506724,1719,"*",28802292,28802301,"R","chrX:111505006-111506724","9CpGs","1718bp",0.205,0.885,0.679,0.64,0.636,0.00325,"U",-4921,"ENSG00000260802",307.071377582124,1.43584077475553,0.160273635561911,4.38552358435606e-21,2.19022870357597e-19,428.636650157424,366.11742921287,153.691762749966,184.610018327542,460.989115008788,187.156754431938,125.925895192942,549.443395575518,"protein_coding","serine rich and transmembrane domain containing 2 [Source:HGNC Symbol;Acc:HGNC:48576]"
"8562","SERTM2","chrX",111572824,111573515,692,"*",28802698,28802705,"R","chrX:111572824-111573515","7CpGs","691bp",0.257,0.708,0.451,0.366,0.319,0.0455,"U",61179,"ENSG00000260802",307.071377582124,1.43584077475553,0.160273635561911,4.38552358435606e-21,2.19022870357597e-19,428.636650157424,366.11742921287,153.691762749966,184.610018327542,460.989115008788,187.156754431938,125.925895192942,549.443395575518,"protein_coding","serine rich and transmembrane domain containing 2 [Source:HGNC Symbol;Acc:HGNC:48576]"
"8563","SERTM2","chrX",111630998,111632158,1161,"*",28803181,28803185,"R","chrX:111630998-111632158","4CpGs","1160bp",0.944,0.414,0.53,0.489,0.46,0.0115,"M",119353,"ENSG00000260802",307.071377582124,1.43584077475553,0.160273635561911,4.38552358435606e-21,2.19022870357597e-19,428.636650157424,366.11742921287,153.691762749966,184.610018327542,460.989115008788,187.156754431938,125.925895192942,549.443395575518,"protein_coding","serine rich and transmembrane domain containing 2 [Source:HGNC Symbol;Acc:HGNC:48576]"
"8564","SERTM2","chrX",111637614,111637804,191,"*",28803219,28803225,"R","chrX:111637614-111637804","6CpGs","190bp",0.393,0.822,0.429,0.369,0.357,0.0166,"U",125969,"ENSG00000260802",307.071377582124,1.43584077475553,0.160273635561911,4.38552358435606e-21,2.19022870357597e-19,428.636650157424,366.11742921287,153.691762749966,184.610018327542,460.989115008788,187.156754431938,125.925895192942,549.443395575518,"protein_coding","serine rich and transmembrane domain containing 2 [Source:HGNC Symbol;Acc:HGNC:48576]"
"8565","SERTM2","chrX",111474781,111476765,1985,"*",28802126,28802138,"R","chrX:111474781-111476765","12CpGs","1984bp",0.666,0.25,0.416,0.352,0.34,0.0206,"M",-34880,"ENSG00000260802",307.071377582124,1.43584077475553,0.160273635561911,4.38552358435606e-21,2.19022870357597e-19,428.636650157424,366.11742921287,153.691762749966,184.610018327542,460.989115008788,187.156754431938,125.925895192942,549.443395575518,"protein_coding","serine rich and transmembrane domain containing 2 [Source:HGNC Symbol;Acc:HGNC:48576]"
"8566","SERTM2","chrX",111645207,111646265,1059,"*",28803277,28803283,"R","chrX:111645207-111646265","6CpGs","1058bp",0.786,0.303,0.483,0.418,0.381,0.0249,"M",133562,"ENSG00000260802",307.071377582124,1.43584077475553,0.160273635561911,4.38552358435606e-21,2.19022870357597e-19,428.636650157424,366.11742921287,153.691762749966,184.610018327542,460.989115008788,187.156754431938,125.925895192942,549.443395575518,"protein_coding","serine rich and transmembrane domain containing 2 [Source:HGNC Symbol;Acc:HGNC:48576]"
"8567","SERTM2","chrX",111452514,111454203,1690,"*",28802018,28802025,"R","chrX:111452514-111454203","7CpGs","1689bp",0.12,0.792,0.672,0.572,0.51,0.034,"U",-57442,"ENSG00000260802",307.071377582124,1.43584077475553,0.160273635561911,4.38552358435606e-21,2.19022870357597e-19,428.636650157424,366.11742921287,153.691762749966,184.610018327542,460.989115008788,187.156754431938,125.925895192942,549.443395575518,"protein_coding","serine rich and transmembrane domain containing 2 [Source:HGNC Symbol;Acc:HGNC:48576]"
"8568","SERTM2","chrX",111463862,111464724,863,"*",28802078,28802085,"R","chrX:111463862-111464724","7CpGs","862bp",0.517,0.113,0.404,0.362,0.352,0.00933,"M",-46921,"ENSG00000260802",307.071377582124,1.43584077475553,0.160273635561911,4.38552358435606e-21,2.19022870357597e-19,428.636650157424,366.11742921287,153.691762749966,184.610018327542,460.989115008788,187.156754431938,125.925895192942,549.443395575518,"protein_coding","serine rich and transmembrane domain containing 2 [Source:HGNC Symbol;Acc:HGNC:48576]"
"8569","SET","chr9",128655637,128655685,49,"*",14813404,14813408,"R","chr9:128655637-128655685","4CpGs","48bp",0.869,0.472,0.397,0.336,0.3,0.0332,"M",-27739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8570","SETBP1","chr18",44796432,44796823,392,"*",24535825,24535828,"R","chr18:44796432-44796823","3CpGs","391bp",0.33,0.802,0.471,0.366,0.339,0.0407,"U",116259,"ENSG00000152217",389.049161923102,0.689950148965426,0.152502227724094,2.61090365636458e-07,2.68471924016453e-06,544.124245018492,359.274112778984,284.370855141648,334.777869056662,520.032055847352,236.652755604021,302.032786214652,531.128615723001,"protein_coding","SET binding protein 1 [Source:HGNC Symbol;Acc:HGNC:15573]"
"8571","SETD3","chr14",99572311,99572380,70,"*",20674846,20674851,"R","chr14:99572311-99572380","5CpGs","69bp",0.944,0.583,0.361,0.307,0.278,0.0283,"M",-91422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8572","SETX","chr9",132164506,132164585,80,"*",14884115,14884121,"R","chr9:132164506-132164585","6CpGs","79bp",0.77,0.136,0.634,0.49,0.468,0.0452,"M",190401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8573","SEZ6L","chr22",26203355,26203998,644,"*",27438572,27438576,"R","chr22:26203355-26203998","4CpGs","643bp",0.214,0.774,0.56,0.467,0.429,0.0265,"U",33893,"ENSG00000100095",901.797871992569,0.317479476799274,0.0816056084535338,3.91389323871313e-05,0.000262795749219559,1090.46940532277,928.409929530455,833.387419403559,790.79216805977,1040.0641116947,739.346517507988,818.0449131331,973.868511288201,"protein_coding","seizure related 6 homolog like [Source:HGNC Symbol;Acc:HGNC:10763]"
"8574","SEZ6L","chr22",26278354,26279284,931,"*",27439215,27439220,"R","chr22:26278354-26279284","5CpGs","930bp",0.517,0.864,0.347,0.31,0.3,0.00996,"U",108892,"ENSG00000100095",901.797871992569,0.317479476799274,0.0816056084535338,3.91389323871313e-05,0.000262795749219559,1090.46940532277,928.409929530455,833.387419403559,790.79216805977,1040.0641116947,739.346517507988,818.0449131331,973.868511288201,"protein_coding","seizure related 6 homolog like [Source:HGNC Symbol;Acc:HGNC:10763]"
"8575","SFPQ","chr1",35189972,35190036,65,"*",583970,583974,"R","chr1:35189972-35190036","4CpGs","64bp",0.406,0.0812,0.325,0.313,0.309,0.00123,"M",3410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8576","SFR1","chr10",104209450,104210104,655,"*",16078259,16078262,"R","chr10:104209450-104210104","3CpGs","654bp",0.101,0.513,0.412,0.351,0.343,0.0201,"U",87392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8577","SFRP1","chr8",41134860,41136486,1627,"*",12888485,12888495,"R","chr8:41134860-41136486","10CpGs","1626bp",0.66,0.968,0.307,0.265,0.251,0.0166,"U",172987,"ENSG00000104332",1991.75922806236,0.615998545716768,0.0961775475596997,8.43015775254164e-12,1.68505958766215e-10,2270.88587972003,2611.86577226627,1457.19516232989,1567.80746908017,2651.25513188551,1428.42365882558,1754.44123152272,2192.1995188687,"protein_coding","secreted frizzled related protein 1 [Source:HGNC Symbol;Acc:HGNC:10776]"
"8578","SFRP1","chr8",41221517,41221941,425,"*",12889298,12889301,"R","chr8:41221517-41221941","3CpGs","424bp",0.3,0.809,0.509,0.45,0.4,0.0368,"U",87532,"ENSG00000104332",1991.75922806236,0.615998545716768,0.0961775475596997,8.43015775254164e-12,1.68505958766215e-10,2270.88587972003,2611.86577226627,1457.19516232989,1567.80746908017,2651.25513188551,1428.42365882558,1754.44123152272,2192.1995188687,"protein_coding","secreted frizzled related protein 1 [Source:HGNC Symbol;Acc:HGNC:10776]"
"8579","SFRP1","chr8",40994117,40994146,30,"*",12887176,12887179,"R","chr8:40994117-40994146","3CpGs","29bp",0.75,0.25,0.5,0.411,0.367,0.0358,"M",315327,"ENSG00000104332",1991.75922806236,0.615998545716768,0.0961775475596997,8.43015775254164e-12,1.68505958766215e-10,2270.88587972003,2611.86577226627,1457.19516232989,1567.80746908017,2651.25513188551,1428.42365882558,1754.44123152272,2192.1995188687,"protein_coding","secreted frizzled related protein 1 [Source:HGNC Symbol;Acc:HGNC:10776]"
"8580","SFRP2","chr4",154051066,154051079,14,"*",7445749,7445752,"R","chr4:154051066-154051079","3CpGs","13bp",0.944,0.641,0.303,0.251,0.222,0.0383,"M",-261983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8581","SFSWAP","chr12",131634219,131634587,369,"*",19034093,19034101,"R","chr12:131634219-131634587","8CpGs","368bp",0.608,0.913,0.305,0.289,0.285,0.00243,"U",-76494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8582","SFSWAP","chr12",131206947,131207173,227,"*",19026514,19026520,"R","chr12:131206947-131207173","6CpGs","226bp",0.791,0.388,0.403,0.391,0.389,0.000968,"M",-503908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8583","SFXN1","chr5",175579465,175580152,688,"*",9204387,9204395,"R","chr5:175579465-175580152","8CpGs","687bp",0.417,0.832,0.416,0.397,0.396,0.00223,"U",102403,"ENSG00000164466",3571.85878541904,0.164331453169466,0.0620238278288353,0.00630503310322625,0.0231226041248623,3836.63115620181,3995.3562446501,3368.06868315166,3418.0407124674,3836.65571333668,3293.03082798014,3348.87136313863,3478.21558242589,"protein_coding","sideroflexin 1 [Source:HGNC Symbol;Acc:HGNC:16085]"
"8584","SGCD","chr5",156602492,156603211,720,"*",9030713,9030717,"R","chr5:156602492-156603211","4CpGs","719bp",0.236,0.577,0.341,0.329,0.321,0.00195,"U",732148,"ENSG00000170624",35.2446187962322,2.92822437882412,0.340434220341562,2.45143678936364e-19,1.0416603546961e-17,68.8483738594826,58.168189688026,4.93128650534651,9.64380692755817,56.7720584986192,9.28050021976554,6.62767869436539,67.6850559766943,"protein_coding","sarcoglycan delta [Source:HGNC Symbol;Acc:HGNC:10807]"
"8585","SGCD","chr5",155659912,155660952,1041,"*",9024889,9024893,"R","chr5:155659912-155660952","4CpGs","1040bp",0.61,0.202,0.408,0.349,0.333,0.0176,"M",-209392,"ENSG00000170624",35.2446187962322,2.92822437882412,0.340434220341562,2.45143678936364e-19,1.0416603546961e-17,68.8483738594826,58.168189688026,4.93128650534651,9.64380692755817,56.7720584986192,9.28050021976554,6.62767869436539,67.6850559766943,"protein_coding","sarcoglycan delta [Source:HGNC Symbol;Acc:HGNC:10807]"
"8586","SGCD","chr5",155814620,155816325,1706,"*",9025885,9025891,"R","chr5:155814620-155816325","6CpGs","1705bp",0.801,0.314,0.488,0.453,0.436,0.00589,"M",-54019,"ENSG00000170624",35.2446187962322,2.92822437882412,0.340434220341562,2.45143678936364e-19,1.0416603546961e-17,68.8483738594826,58.168189688026,4.93128650534651,9.64380692755817,56.7720584986192,9.28050021976554,6.62767869436539,67.6850559766943,"protein_coding","sarcoglycan delta [Source:HGNC Symbol;Acc:HGNC:10807]"
"8587","SGCE","chr7",94657108,94657248,141,"*",11788706,11788716,"R","chr7:94657108-94657248","10CpGs","140bp",0.693,0.332,0.361,0.292,0.264,0.0338,"M",-536,"ENSG00000127990",1576.90732709498,0.664993130775491,0.0858438305111446,4.35009927423943e-16,1.36788792777021e-14,1921.09172220814,2161.34744036881,1224.60281549438,1322.57923577941,1921.16645959327,1143.04827706779,1140.9075466729,1780.51511957516,"protein_coding","sarcoglycan epsilon [Source:HGNC Symbol;Acc:HGNC:10808]"
"8588","SGCG","chr13",23021377,23021395,19,"*",19166145,19166150,"R","chr13:23021377-23021395","5CpGs","18bp",0.55,0.902,0.352,0.325,0.3,0.0196,"U",-159584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8589","SGCG","chr13",23058171,23058211,41,"*",19166528,19166532,"R","chr13:23058171-23058211","4CpGs","40bp",0.919,0.375,0.544,0.495,0.483,0.00699,"M",-122768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8590","SGCG","chr13",23288297,23288556,260,"*",19169032,19169035,"R","chr13:23288297-23288556","3CpGs","259bp",0.55,0.162,0.388,0.344,0.318,0.0186,"M",107318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8591","SGCZ","chr8",14875497,14876336,840,"*",12637999,12638005,"R","chr8:14875497-14876336","6CpGs","839bp",0.563,0.183,0.38,0.36,0.356,0.00235,"M",362095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8592","SGCZ","chr8",15002349,15003048,700,"*",12638934,12638943,"R","chr8:15002349-15003048","9CpGs","699bp",0.467,0.0781,0.389,0.299,0.279,0.0442,"M",235383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8593","SGCZ","chr8",14941375,14943266,1892,"*",12638460,12638472,"R","chr8:14941375-14943266","12CpGs","1891bp",0.122,0.661,0.538,0.487,0.476,0.00798,"U",295165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8594","SGCZ","chr8",15095535,15095848,314,"*",12639633,12639638,"R","chr8:15095535-15095848","5CpGs","313bp",0,0.422,0.422,0.401,0.4,0.00276,"U",142583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8595","SGCZ","chr8",14898028,14898418,391,"*",12638133,12638140,"R","chr8:14898028-14898418","7CpGs","390bp",0.487,0.0714,0.416,0.319,0.286,0.0459,"M",340013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8596","SGCZ","chr8",14573220,14573237,18,"*",12635947,12635950,"R","chr8:14573220-14573237","3CpGs","17bp",0.55,0.938,0.387,0.303,0.275,0.0401,"U",665194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8597","SGCZ","chr8",14856204,14856778,575,"*",12637872,12637876,"R","chr8:14856204-14856778","4CpGs","574bp",0.894,0.417,0.477,0.374,0.346,0.0381,"M",381653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8598","SGCZ","chr8",15053314,15053629,316,"*",12639308,12639313,"R","chr8:15053314-15053629","5CpGs","315bp",0.743,0.389,0.355,0.298,0.292,0.024,"M",184802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8599","SGCZ","chr8",15114150,15115602,1453,"*",12639804,12639814,"R","chr8:15114150-15115602","10CpGs","1452bp",0.944,0.341,0.603,0.5,0.468,0.0251,"M",122829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8600","SGCZ","chr8",15005301,15006184,884,"*",12638971,12638988,"R","chr8:15005301-15006184","17CpGs","883bp",0.791,0.125,0.666,0.621,0.615,0.00409,"M",232247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8601","SGCZ","chr8",15172308,15172396,89,"*",12640328,12640335,"R","chr8:15172308-15172396","7CpGs","88bp",0.841,0.208,0.633,0.573,0.55,0.00846,"M",66035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8602","SGK1","chr6",134882508,134882605,98,"*",10451179,10451182,"R","chr6:134882508-134882605","3CpGs","97bp",0.655,0.348,0.306,0.286,0.279,0.00393,"M",-564396,"ENSG00000118515",2145.49662039518,2.08407157466157,0.232871085050406,2.45055432493548e-20,1.14616304352423e-18,3514.5984397623,4126.5198096329,1109.53946370296,603.426776324354,2918.08380682902,798.123018899837,645.7252670796,3447.95638093043,"protein_coding","serum/glucocorticoid regulated kinase 1 [Source:HGNC Symbol;Acc:HGNC:10810]"
"8603","SGO1","chr3",20452850,20454288,1439,"*",4758984,4758991,"R","chr3:20452850-20454288","7CpGs","1438bp",0.926,0.528,0.398,0.335,0.296,0.0373,"M",-266644,"ENSG00000129810",504.553899904186,0.46609513818058,0.110517810604611,3.51048407169945e-06,2.91475537306974e-05,559.67065201902,593.087424270069,401.077969101516,509.744080456646,629.0344081647,391.32775926678,366.415950674201,586.072955280553,"protein_coding","shugoshin 1 [Source:HGNC Symbol;Acc:HGNC:25088]"
"8604","SGPP2","chr2",222609438,222609742,305,"*",4314673,4314676,"R","chr2:222609438-222609742","3CpGs","304bp",0.283,0.844,0.56,0.472,0.412,0.0434,"U",184895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
